river,seed,class,AP50,Precision,Recall
combined,42,all,0.28458938451833765,0.396740036632651,0.37307233706938436
combined,42,Coho,0.5655360162039359,0.5862591020167605,0.9213327163350301
combined,42,Bull,0.06674162336784137,0.6714889362683555,0.07198467888505411
combined,42,Rainbow,0.00137945141432245,0.016691208239201595,0.012145748987854251
combined,42,Sockeye,0.011154738049569214,0.0026392810975046314,0.0047169811320754715
combined,42,Pink,0.17852003380438436,0.22348590105344956,0.6883116883116883
combined,42,Whitefish,0.014342400027464806,0.0972522080676734,0.11602209944751381
combined,42,Chinook,0.1413388232952394,0.22755120237461507,0.43646408839779005
combined,42,Shiner,0.05460526315789474,0.9184493344448637,0.05124653739612189
combined,42,Pikeminnow,0.7947087571609008,0.5911515802193662,0.8964285714285715
combined,42,Chum,0.003786231884057971,0.0,0.0
combined,42,Steelhead,0.0,0.0,0.0
combined,42,Lamprey,0.8757401497344806,0.8226517224426727,0.83
combined,42,Cutthroat,0.9918085106382979,1.0,0.8212872715802964
combined,123,all,0.2779885495956079,0.3858834425689986,0.3761051913812375
combined,123,Coho,0.5604540993883831,0.5808585868601227,0.9256159925615992
combined,123,Bull,0.045394934149208276,0.5889905937859167,0.04935622317596566
combined,123,Rainbow,0.0006122280817402769,0.01773362803633673,0.011012030506948841
combined,123,Sockeye,0.00845422467281146,0.0,0.0
combined,123,Pink,0.1363105995213859,0.17651497002911773,0.6225165562913907
combined,123,Whitefish,0.03301055952492907,0.14654156908769356,0.20359281437125748
combined,123,Chinook,0.1663174074240453,0.2672015356451922,0.4444444444444444
combined,123,Shiner,0.0446875,0.8379152370886137,0.04526462395543175
combined,123,Pikeminnow,0.7677850098315233,0.5872592831625328,0.9191176470588235
combined,123,Chum,0.003877551020408163,0.0,0.0
combined,123,Steelhead,0.0,0.0,0.0
combined,123,Lamprey,0.875447031128469,0.8385299889935054,0.8226775315814996
combined,123,Cutthroat,0.9715,0.9749393607079496,0.8457696240087265
combined,456,all,0.28128494634116047,0.3878563947067283,0.37644034758647194
combined,456,Coho,0.5541210804048494,0.5757207078558717,0.927063339731286
combined,456,Bull,0.03840570883747856,0.5185100423104357,0.0429939787495039
combined,456,Rainbow,0.0050802978145552315,0.05296767056321437,0.03180212014134275
combined,456,Sockeye,0.011683204430736168,0.0,0.0
combined,456,Pink,0.16468372844426643,0.19370823840844764,0.6862745098039216
combined,456,Whitefish,0.021364528168649817,0.11933353150585316,0.15819209039548024
combined,456,Chinook,0.18571877664153258,0.2756307853399974,0.4717948717948718
combined,456,Shiner,0.05252796052631578,0.8602929719557587,0.047204643217699405
combined,456,Pikeminnow,0.7338486288635118,0.5817911591495731,0.8645418326693227
combined,456,Chum,0.0031879194630872482,0.0,0.0
combined,456,Steelhead,0.0,0.0,0.0
combined,456,Lamprey,0.8987559382278585,0.864178024098317,0.8529411764705882
combined,456,Cutthroat,0.987326530612245,1.0,0.8109159556501183
kitwanga,42,all,0.1563279250918056,0.4691276375113424,0.2515321257861174
kitwanga,42,Coho,0.6030924726091255,0.6044478039726736,0.9843733021523454
kitwanga,42,Bull,0.0421224950137593,0.4703292888285891,0.04590747576587109
kitwanga,42,Rainbow,0.0021657754010695187,0.0,0.0
kitwanga,42,Sockeye,0.018413920331609997,0.0,0.0
kitwanga,42,Pink,0.14671053283883506,0.18881420969561777,0.5821917808219178
kitwanga,42,Whitefish,0.021768953068592056,0.03447295415610569,0.07339449541284404
kitwanga,42,Chinook,0.5726771765632588,0.9240844809490955,0.577922077922078
kitwanga,42,Shiner,0.0,1.0,0.0
kitwanga,42,Pikeminnow,0.0,1.0,0.0
kitwanga,123,all,0.14440799974959145,0.3708414326962407,0.24832451672849634
kitwanga,123,Coho,0.6000177226585272,0.600874671339255,0.9754128198055309
kitwanga,123,Bull,0.038660773923931815,0.562806242246595,0.03547854215584989
kitwanga,123,Rainbow,0.00025714285714285715,0.0,0.0
kitwanga,123,Sockeye,0.015059534317873102,0.0,0.0
kitwanga,123,Pink,0.15745149446089557,0.18705169375073863,0.610738255033557
kitwanga,123,Whitefish,0.03245424292845257,0.06851016569893242,0.1415929203539823
kitwanga,123,Chinook,0.45577108659950005,0.9183301212306453,0.4716981132075472
kitwanga,123,Shiner,0.0,0.0,0.0
kitwanga,123,Pikeminnow,0.0,1.0,0.0
kitwanga,456,all,0.1502601943992778,0.47952217027783245,0.25034228430068806
kitwanga,456,Coho,0.5980006009772942,0.6007387745132867,0.9703704728542469
kitwanga,456,Bull,0.04398357524828113,0.5552265726653002,0.043478260869565216
kitwanga,456,Rainbow,0.002055837563451777,0.0,0.0
kitwanga,456,Sockeye,0.010782382387944968,0.0,0.0
kitwanga,456,Pink,0.12656268451424324,0.16358802568705108,0.5620437956204379
kitwanga,456,Whitefish,0.023764959209370735,0.054878120055684335,0.11818181818181818
kitwanga,456,Chinook,0.5471917096929142,0.9412680395791696,0.5590062111801242
kitwanga,456,Shiner,0.0,1.0,0.0
kitwanga,456,Pikeminnow,0.0,1.0,0.0
bear,42,all,0.35453772666404,0.4996068862994598,0.44582487555324535
bear,42,Coho,0.09540769311515718,0.2855746419562799,0.16638655462184873
bear,42,Bull,0.995,0.8263386257501782,1.0
bear,42,Rainbow,0.013336424130031636,0.11713593701779206,0.047345767575322814
bear,42,Sockeye,0.00199003984063745,0.0,0.0
bear,42,Pink,0.2039357134093976,0.19449507772150687,0.9523809523809523
bear,42,Whitefish,0.172493345915602,0.6664695771400635,0.17276422764227642
bear,42,Chinook,0.13876663776529183,0.12763931368460474,0.5825688073394495
bear,42,Shiner,0.35854212463862434,0.8790067870069039,0.330930064888248
bear,42,Pikeminnow,0.7858420252943188,0.6301898882348114,0.8960674157303371
bear,42,Chum,0.008947368421052631,1.0,0.0
bear,42,Steelhead,0.0,0.0,0.0
bear,42,Lamprey,0.8698841710379912,0.794151593785759,0.8363636363636363
bear,42,Cutthroat,0.9648449030644155,0.973888079595078,0.8109159556501183
bear,123,all,0.356708029068019,0.5061522259879391,0.4419292141111384
bear,123,Coho,0.09702028155410258,0.27366583562508207,0.16183986371379896
bear,123,Bull,0.995,0.8992218228120777,1.0
bear,123,Rainbow,0.008014705882352941,0.08434305475458619,0.03206997084548105
bear,123,Sockeye,0.0012161646969119327,0.0,0.0
bear,123,Pink,0.2017959533852863,0.19321745746903612,0.9523809523809523
bear,123,Whitefish,0.1936727642276423,0.7619647918808264,0.1984126984126984
bear,123,Chinook,0.13439278922253045,0.12326316054109455,0.5324074074074074
bear,123,Shiner,0.35800726149054274,0.9069183932770151,0.32521489971346706
bear,123,Pikeminnow,0.8024996571096602,0.6322259053355542,0.9055258467023173
bear,123,Chum,0.01763803680981595,1.0,0.0
bear,123,Steelhead,0.0,0.0,0.0
bear,123,Lamprey,0.8692294033906238,0.7564686898280635,0.8333333333333334
